[142] train-err:0.139740 train-nlik:0.554769 valid-err:0.138900 valid-nlik:0.553732 test-err:0.133600 test-nlik:0.543673
[143] train-err:0.139420 train-nlik:0.554552 valid-err:0.138600 valid-nlik:0.553437 test-err:0.133200 test-nlik:0.543469
[144] train-err:0.139120 train-nlik:0.554628 valid-err:0.138600 valid-nlik:0.553545 test-err:0.133300 test-nlik:0.543531
[145] train-err:0.138820 train-nlik:0.554304 valid-err:0.138800 valid-nlik:0.553345 test-err:0.133500 test-nlik:0.543225
[146] train-err:0.138640 train-nlik:0.554534 valid-err:0.138600 valid-nlik:0.553590 test-err:0.133000 test-nlik:0.543381
[147] train-err:0.139200 train-nlik:0.555247 valid-err:0.138500 valid-nlik:0.554318 test-err:0.133200 test-nlik:0.544126
[148] train-err:0.139140 train-nlik:0.555637 valid-err:0.138700 valid-nlik:0.554639 test-err:0.133400 test-nlik:0.544534
[149] train-err:0.139280 train-nlik:0.555892 valid-err:0.138400 valid-nlik:0.554842 test-err:0.133600 test-nlik:0.544669
[150] train-err:0.139580 train-nlik:0.556345 valid-err:0.138600 valid-nlik:0.555349 test-err:0.133800 test-nlik:0.545287
[151] train-err:0.139460 train-nlik:0.556912 valid-err:0.138400 valid-nlik:0.555826 test-err:0.133600 test-nlik:0.545917
[152] train-err:0.139020 train-nlik:0.556814 valid-err:0.138300 valid-nlik:0.555860 test-err:0.133100 test-nlik:0.545835
[153] train-err:0.139260 train-nlik:0.556507 valid-err:0.138300 valid-nlik:0.555568 test-err:0.133000 test-nlik:0.545584
[154] train-err:0.139080 train-nlik:0.556975 valid-err:0.138200 valid-nlik:0.556005 test-err:0.133100 test-nlik:0.545997
[155] train-err:0.139140 train-nlik:0.556979 valid-err:0.138400 valid-nlik:0.555966 test-err:0.132800 test-nlik:0.545980
[156] train-err:0.139040 train-nlik:0.556878 valid-err:0.138500 valid-nlik:0.555871 test-err:0.132500 test-nlik:0.545871
[157] train-err:0.139020 train-nlik:0.557098 valid-err:0.138500 valid-nlik:0.556058 test-err:0.132500 test-nlik:0.546113
[158] train-err:0.138840 train-nlik:0.557028 valid-err:0.138500 valid-nlik:0.555959 test-err:0.132400 test-nlik:0.546105
[159] train-err:0.138780 train-nlik:0.556877 valid-err:0.138500 valid-nlik:0.555879 test-err:0.132100 test-nlik:0.545974
[160] train-err:0.139220 train-nlik:0.556933 valid-err:0.138200 valid-nlik:0.555947 test-err:0.132400 test-nlik:0.546008
[161] train-err:0.139060 train-nlik:0.557721 valid-err:0.139000 valid-nlik:0.556720 test-err:0.133200 test-nlik:0.546841
[162] train-err:0.139320 train-nlik:0.557760 valid-err:0.139000 valid-nlik:0.556811 test-err:0.133200 test-nlik:0.546833
[163] train-err:0.139420 train-nlik:0.557743 valid-err:0.138600 valid-nlik:0.556774 test-err:0.133300 test-nlik:0.546739
[164] train-err:0.139320 train-nlik:0.557632 valid-err:0.138900 valid-nlik:0.556674 test-err:0.133400 test-nlik:0.546660
[165] train-err:0.139260 train-nlik:0.557970 valid-err:0.139100 valid-nlik:0.557032 test-err:0.133900 test-nlik:0.547007
[166] train-err:0.139560 train-nlik:0.557817 valid-err:0.139200 valid-nlik:0.556877 test-err:0.133700 test-nlik:0.546803
[167] train-err:0.139880 train-nlik:0.557926 valid-err:0.139400 valid-nlik:0.556918 test-err:0.133900 test-nlik:0.546852
[168] train-err:0.139660 train-nlik:0.557675 valid-err:0.139500 valid-nlik:0.556758 test-err:0.134400 test-nlik:0.546549
[169] train-err:0.139380 train-nlik:0.558059 valid-err:0.139300 valid-nlik:0.557122 test-err:0.134400 test-nlik:0.546816
[170] train-err:0.139660 train-nlik:0.558560 valid-err:0.139400 valid-nlik:0.557602 test-err:0.134200 test-nlik:0.547271
[171] train-err:0.139840 train-nlik:0.558797 valid-err:0.140500 valid-nlik:0.557820 test-err:0.134400 test-nlik:0.547525
[172] train-err:0.139600 train-nlik:0.558455 valid-err:0.139500 valid-nlik:0.557446 test-err:0.134400 test-nlik:0.547204
[173] train-err:0.139980 train-nlik:0.558917 valid-err:0.139900 valid-nlik:0.557954 test-err:0.134600 test-nlik:0.547548
[174] train-err:0.139740 train-nlik:0.559149 valid-err:0.139300 valid-nlik:0.558162 test-err:0.134600 test-nlik:0.547778
[175] train-err:0.139480 train-nlik:0.559779 valid-err:0.139300 valid-nlik:0.558831 test-err:0.134300 test-nlik:0.548388
[176] train-err:0.139660 train-nlik:0.559941 valid-err:0.139400 valid-nlik:0.558980 test-err:0.134000 test-nlik:0.548544
[177] train-err:0.139720 train-nlik:0.560171 valid-err:0.139600 valid-nlik:0.559221 test-err:0.133900 test-nlik:0.548781
[178] train-err:0.139500 train-nlik:0.560499 valid-err:0.138900 valid-nlik:0.559546 test-err:0.133600 test-nlik:0.549214
[179] train-err:0.140000 train-nlik:0.560783 valid-err:0.139200 valid-nlik:0.559889 test-err:0.134200 test-nlik:0.549642
[180] train-err:0.139520 train-nlik:0.560480 valid-err:0.139000 valid-nlik:0.559720 test-err:0.133100 test-nlik:0.549464
[181] train-err:0.139100 train-nlik:0.560025 valid-err:0.138100 valid-nlik:0.559311 test-err:0.132600 test-nlik:0.548818
[182] train-err:0.139460 train-nlik:0.559922 valid-err:0.138300 valid-nlik:0.559234 test-err:0.132400 test-nlik:0.548682
[183] train-err:0.139340 train-nlik:0.559766 valid-err:0.138200 valid-nlik:0.559095 test-err:0.133000 test-nlik:0.548485
[184] train-err:0.139680 train-nlik:0.560465 valid-err:0.138300 valid-nlik:0.559785 test-err:0.133200 test-nlik:0.549131
[185] train-err:0.139760 train-nlik:0.560924 valid-err:0.138500 valid-nlik:0.560218 test-err:0.133800 test-nlik:0.549576
