[171] train-err:0.070380 train-nlik:0.262935 valid-err:0.072600 valid-nlik:0.270939 test-err:0.071100 test-nlik:0.260634
[172] train-err:0.070260 train-nlik:0.262514 valid-err:0.072500 valid-nlik:0.270549 test-err:0.071100 test-nlik:0.260252
[173] train-err:0.069960 train-nlik:0.262088 valid-err:0.072300 valid-nlik:0.270158 test-err:0.071000 test-nlik:0.259879
[174] train-err:0.069820 train-nlik:0.261657 valid-err:0.072000 valid-nlik:0.269765 test-err:0.070800 test-nlik:0.259493
[175] train-err:0.069760 train-nlik:0.261225 valid-err:0.071900 valid-nlik:0.269366 test-err:0.070700 test-nlik:0.259102
[176] train-err:0.069600 train-nlik:0.260787 valid-err:0.071700 valid-nlik:0.268969 test-err:0.070600 test-nlik:0.258717
[177] train-err:0.069480 train-nlik:0.260347 valid-err:0.072100 valid-nlik:0.268561 test-err:0.070400 test-nlik:0.258329
[178] train-err:0.069360 train-nlik:0.259910 valid-err:0.072000 valid-nlik:0.268172 test-err:0.070400 test-nlik:0.257949
[179] train-err:0.069240 train-nlik:0.259473 valid-err:0.072000 valid-nlik:0.267777 test-err:0.070200 test-nlik:0.257560
[180] train-err:0.069140 train-nlik:0.259036 valid-err:0.072000 valid-nlik:0.267384 test-err:0.070000 test-nlik:0.257174
[181] train-err:0.068960 train-nlik:0.258607 valid-err:0.072000 valid-nlik:0.267000 test-err:0.069800 test-nlik:0.256798
[182] train-err:0.068900 train-nlik:0.258186 valid-err:0.071800 valid-nlik:0.266630 test-err:0.069700 test-nlik:0.256421
[183] train-err:0.068800 train-nlik:0.257764 valid-err:0.071800 valid-nlik:0.266258 test-err:0.069600 test-nlik:0.256032
[184] train-err:0.068680 train-nlik:0.257343 valid-err:0.071800 valid-nlik:0.265887 test-err:0.069600 test-nlik:0.255658
[185] train-err:0.068540 train-nlik:0.256922 valid-err:0.071700 valid-nlik:0.265517 test-err:0.069400 test-nlik:0.255271
[186] train-err:0.068280 train-nlik:0.256504 valid-err:0.071500 valid-nlik:0.265144 test-err:0.069400 test-nlik:0.254899
[187] train-err:0.068120 train-nlik:0.256078 valid-err:0.071500 valid-nlik:0.264756 test-err:0.069100 test-nlik:0.254514
[188] train-err:0.068000 train-nlik:0.255661 valid-err:0.071600 valid-nlik:0.264380 test-err:0.068800 test-nlik:0.254128
