[173] train-err:0.006100 train-nlik:0.043777 valid-err:0.020200 valid-nlik:0.079306 test-err:0.019000 test-nlik:0.071938
[174] train-err:0.006100 train-nlik:0.043743 valid-err:0.020400 valid-nlik:0.079288 test-err:0.018900 test-nlik:0.071945
[175] train-err:0.006040 train-nlik:0.043708 valid-err:0.020300 valid-nlik:0.079208 test-err:0.018700 test-nlik:0.071928
[176] train-err:0.006000 train-nlik:0.043676 valid-err:0.020200 valid-nlik:0.079152 test-err:0.019100 test-nlik:0.071925
[177] train-err:0.006000 train-nlik:0.043598 valid-err:0.020300 valid-nlik:0.079099 test-err:0.018600 test-nlik:0.071900
[178] train-err:0.006000 train-nlik:0.043542 valid-err:0.020300 valid-nlik:0.079094 test-err:0.018600 test-nlik:0.071901
[179] train-err:0.005980 train-nlik:0.043517 valid-err:0.020400 valid-nlik:0.079074 test-err:0.018500 test-nlik:0.071940
[180] train-err:0.006000 train-nlik:0.043451 valid-err:0.019900 valid-nlik:0.079030 test-err:0.018600 test-nlik:0.071923
[181] train-err:0.005940 train-nlik:0.043440 valid-err:0.019900 valid-nlik:0.079036 test-err:0.018600 test-nlik:0.071945
[182] train-err:0.005940 train-nlik:0.043394 valid-err:0.020000 valid-nlik:0.079048 test-err:0.018600 test-nlik:0.071914
[183] train-err:0.005900 train-nlik:0.043360 valid-err:0.019900 valid-nlik:0.079064 test-err:0.018600 test-nlik:0.071931
[184] train-err:0.005920 train-nlik:0.043361 valid-err:0.019700 valid-nlik:0.079143 test-err:0.018700 test-nlik:0.071976
[185] train-err:0.005900 train-nlik:0.043315 valid-err:0.019600 valid-nlik:0.079127 test-err:0.018600 test-nlik:0.071952
[186] train-err:0.005860 train-nlik:0.043262 valid-err:0.019500 valid-nlik:0.079104 test-err:0.018600 test-nlik:0.071953
[187] train-err:0.005860 train-nlik:0.043207 valid-err:0.019600 valid-nlik:0.079067 test-err:0.018700 test-nlik:0.071938
[188] train-err:0.005860 train-nlik:0.043141 valid-err:0.019600 valid-nlik:0.079076 test-err:0.018600 test-nlik:0.071922
[189] train-err:0.005800 train-nlik:0.043078 valid-err:0.019900 valid-nlik:0.079069 test-err:0.018700 test-nlik:0.071932
[190] train-err:0.005820 train-nlik:0.043024 valid-err:0.019900 valid-nlik:0.079045 test-err:0.018700 test-nlik:0.071960
[191] train-err:0.005800 train-nlik:0.042948 valid-err:0.019900 valid-nlik:0.079006 test-err:0.018900 test-nlik:0.071942
[192] train-err:0.005700 train-nlik:0.042880 valid-err:0.019800 valid-nlik:0.078950 test-err:0.018900 test-nlik:0.071927
[193] train-err:0.005660 train-nlik:0.042813 valid-err:0.019800 valid-nlik:0.078912 test-err:0.018800 test-nlik:0.071918
[194] train-err:0.005640 train-nlik:0.042727 valid-err:0.019800 valid-nlik:0.078887 test-err:0.019000 test-nlik:0.071888
[195] train-err:0.005660 train-nlik:0.042686 valid-err:0.019700 valid-nlik:0.078899 test-err:0.019000 test-nlik:0.071863
[196] train-err:0.005620 train-nlik:0.042626 valid-err:0.020000 valid-nlik:0.078849 test-err:0.019100 test-nlik:0.071822
[197] train-err:0.005640 train-nlik:0.042559 valid-err:0.020300 valid-nlik:0.078821 test-err:0.019100 test-nlik:0.071776
[198] train-err:0.005620 train-nlik:0.042510 valid-err:0.020300 valid-nlik:0.078777 test-err:0.019000 test-nlik:0.071759
[199] train-err:0.005640 train-nlik:0.042467 valid-err:0.020300 valid-nlik:0.078754 test-err:0.019000 test-nlik:0.071756
[200] train-err:0.005600 train-nlik:0.042434 valid-err:0.020300 valid-nlik:0.078745 test-err:0.018800 test-nlik:0.071638
[201] train-err:0.005600 train-nlik:0.042417 valid-err:0.020500 valid-nlik:0.078752 test-err:0.018900 test-nlik:0.071632
[202] train-err:0.005580 train-nlik:0.042405 valid-err:0.020600 valid-nlik:0.078778 test-err:0.018500 test-nlik:0.071592
[203] train-err:0.005600 train-nlik:0.042343 valid-err:0.020500 valid-nlik:0.078770 test-err:0.018600 test-nlik:0.071582
[204] train-err:0.005560 train-nlik:0.042290 valid-err:0.020400 valid-nlik:0.078808 test-err:0.018600 test-nlik:0.071581
[205] train-err:0.005500 train-nlik:0.042219 valid-err:0.020400 valid-nlik:0.078784 test-err:0.018800 test-nlik:0.071537
[206] train-err:0.005440 train-nlik:0.042128 valid-err:0.020200 valid-nlik:0.078725 test-err:0.018900 test-nlik:0.071483
[207] train-err:0.005460 train-nlik:0.042069 valid-err:0.020100 valid-nlik:0.078715 test-err:0.018900 test-nlik:0.071484
[208] train-err:0.005480 train-nlik:0.042047 valid-err:0.020000 valid-nlik:0.078715 test-err:0.018800 test-nlik:0.071477
[209] train-err:0.005460 train-nlik:0.042041 valid-err:0.019900 valid-nlik:0.078751 test-err:0.018900 test-nlik:0.071485
[210] train-err:0.005460 train-nlik:0.042036 valid-err:0.019900 valid-nlik:0.078736 test-err:0.018900 test-nlik:0.071524
[211] train-err:0.005380 train-nlik:0.042022 valid-err:0.019800 valid-nlik:0.078677 test-err:0.018900 test-nlik:0.071566
[212] train-err:0.005380 train-nlik:0.041998 valid-err:0.019700 valid-nlik:0.078655 test-err:0.018900 test-nlik:0.071572
[213] train-err:0.005380 train-nlik:0.041973 valid-err:0.019600 valid-nlik:0.078617 test-err:0.018800 test-nlik:0.071562
[214] train-err:0.005340 train-nlik:0.041919 valid-err:0.019600 valid-nlik:0.078572 test-err:0.018800 test-nlik:0.071522
